101學年度大專校院名錄,,,,,,
,,,,,,
代碼,學校名稱,縣市名稱,地址,電話,網址,體系別
1176,稻江科技暨管理學院,[10]嘉義縣,[613]嘉義縣朴子市學府路二段51號,(05)3622889,http://www.toko.edu.tw,[1]一般
1179,德霖技術學院,[01]新北市,[236]新北市土城區青雲路380巷1號,(02)22733567,http://www.dlit.edu.tw,[2]技職
1181,南榮技術學院,[11]臺南市,[737]臺南市鹽水區朝琴路178號,(06)6523111,http://www.njtc.edu.tw,[2]技職
1182,蘭陽技術學院,[02]宜蘭縣,[261]宜蘭縣頭城鎮復興路79號,(039)771997,http://www.fit.edu.tw,[2]技職
1183,黎明技術學院,[01]新北市,[243]新北市泰山區黎專路2之2號,(02)29097811,http://www.lit.edu.tw,[2]技職
1184,東方設計學院,[12]高雄市,[829]高雄市湖內區東方路110號,(07)6932011,http://www.tf.edu.tw,[2]技職
1185,經國管理暨健康學院,[17]基隆市,[203]基隆市中山區復興路336號,(02)24372093,http://www.cku.edu.tw,[2]技職
1187,崇右技術學院,[17]基隆市,[201]基隆市信義區義七路40號,(02)24237785,http://www.cit.edu.tw/,[2]技職
1188,大同技術學院,[20]嘉義市,[600]嘉義市東區彌陀路253號,(05)2223124,http://www.ttc.edu.tw,[2]技職
1189,亞太創意技術學院,[05]苗栗縣,[351]苗栗縣頭份鎮學府路110號,(037)605500,http://w2.apic.edu.tw/,[2]技職
1190,高鳳數位內容學院,[13]屏東縣,[908]屏東縣長治鄉復興村新興路38號,(08)7626365,http://www.kfcdc.edu.tw/,[2]技職
1191,華夏技術學院,[01]新北市,[235]新北市中和區工專路111號,(02)89415100,http://www.hwh.edu.tw,[2]技職
1192,臺灣觀光學院,[15]花蓮縣,[974]花蓮縣壽豐鄉豐山村中興街268號,(038)653906,http://www.tht.edu.tw,[2]技職
1194,台北海洋技術學院,[41]臺北市,[111]臺北市士林區延平北路九段212號,(02)28102292,http://www.tcmt.edu.tw,[2]技職
1195,馬偕醫學院,[01]新北市,[252]新北市三芝區中正路三段46號,(02)26360303,http://www.mmc.edu.tw,[1]一般
3102,臺北市立體育學院,[41]臺北市,[111]臺北市士林區忠誠路二段101號,(02)28718288,http://www.tpec.edu.tw,[1]一般
0221,國立臺南護理專科學校,[21]臺南市,[700]臺南市中西區民族路二段78號,(06)2110600,http://www.ntin.edu.tw,[2]技職
0222,國立臺東專科學校,[14]臺東縣,[950]臺東縣臺東市正氣北路889號,(089)226389,http://www.ntc.edu.tw,[2]技職
1281,康寧醫護暨管理專科學校,[40]臺北市,[114]臺北市內湖區康寧路三段75巷137號,(02)26321181,http://www.knjc.edu.tw,[2]技職
1282,馬偕醫護管理專科學校,[42]臺北市,[112]臺北市北投區聖景路92號,(02)28584180,http://www.mkc.edu.tw,[2]技職
1283,仁德醫護管理專科學校,[05]苗栗縣,[356]苗栗縣後龍鎮溪洲里砂崙湖79之9號,(037)728855,http://www.jente.edu.tw,[2]技職
1284,樹人醫護管理專科學校,[12]高雄市,[821]高雄市路竹區環球路452號,(07)6979333,http://www.szmc.edu.tw,[2]技職
1285,慈惠醫護管理專科學校,[13]屏東縣,[926]屏東縣南州鄉三民路367號,(08)8647367,http://www.tzuhui.edu.tw,[2]技職
1286,耕莘健康管理專科學校,[01]新北市,[231]新北市新店區民族路112號,(02)22191131,http://www.ctcn.edu.tw,[2]技職
1287,敏惠醫護管理專科學校,[11]臺南市,[736]臺南市柳營區中山東路二段1116號,(06)6226111,http://www.mhchcm.edu.tw/,[2]技職
1288,高美醫護管理專科學校,[12]高雄市,[843]高雄市美濃區成功路309號,(07)6812148,http://www.kmvs.khc.edu.tw/,[2]技職
1289,育英醫護管理專科學校,[55]高雄市,[807]高雄市三民區大昌二路420巷15號,(07)3811765,http://163.15.186.16/releaseRedirect.do?unitID=1,[2]技職
1290,崇仁醫護管理專科學校,[20]嘉義市,[600]嘉義市東區盧厝里紅毛埤217號,(05)2773932,http://www.cjc.edu.tw,[2]技職
1291,聖母醫護管理專科學校,[02]宜蘭縣,[266]宜蘭縣三星鄉三星路二段265巷100號,(03)9897396,http://www.smc.edu.tw/,[2]技職
1292,新生醫護管理專科學校,[03]桃園縣,[325]桃園縣龍潭鄉中豐路高平段418號,(03)4117578,http://www.web.hsc.edu.tw/bin/home.php,[2]技職
,,,,,,
說明：校地面積為總校地，除校本部外，並含該校其他縣市校地，惟不含附設醫院、農場與林場等。,,,,,,
